claim_id,serial_number,part_number,claim_date,mileage,dealer_id,customer_complaint,technician_notes
WC-2024-00444,PSN-SGB6500-04350,SGB-6500,2024-10-29,388397,DLR-0010,"Called from truck stop, steering feels vague, truck drifts in the lane. Third driver to complain about this unit.",Replaced steering gearbox. Sector Shaft wear causing excessive free play. Driver cannot hold lane on highway. Adjusted to minimum lash but still exceeds spec. Shaft surfaces are worn.
WC-2024-00064,PSN-TC5000-01805,TC-5000,2025-01-10,307258,DLR-0005,Road call. driver says it feels like driving without a turbo. Driver wants a different truck.,"Replaced turbo assembly. VGT Actuator failed causing erratic boost. Prolonged operation in this condition caused excessive heat cycling on the Heat Shield which is now warped and cracking. VGT Actuator is root cause, Heat Shield is collateral damage."
WC-2024-00420,PSN-EXM4100-03228,EXM-4100,2024-07-22,282867,DLR-0022,"Driver reports electrical gremlins started, think something melted near exhaust. Third driver to complain about this unit.",Replaced exhaust manifold assembly. Heat Shield material delaminating. Insulation layer gone in two spots. Wiring loom directly above shows melted outer jacket. Heat Shield failure is root cause of thermal damage.
WC-2024-00018,PSN-TC5000-04936,TC-5000,2025-02-19,48794,DLR-0022,Driver reports blue smoke at startup and oil everywhere in the intake. Need this truck back ASAP.,Replaced TC-5000. Compressor Wheel seal failure allowing oil migration into charge air system. Charge air cooler contaminated. Bearing Housing oil seal on compressor side deteriorated. Compressor Wheel inducer shows light rub marks.
WC-2024-00141,PSN-TC5000-01666,TC-5000,2024-09-07,158420,DLR-0023,"Charge air cooler full of oil, turbo related. Driver wants a different truck.",Replaced TC-5000. Compressor Wheel seal failure allowing oil migration into charge air system. Charge air cooler contaminated. Bearing Housing oil seal on compressor side deteriorated. Compressor Wheel inducer shows light rub marks.
WC-2024-00172,PSN-TCM3200-00390,TCM-3200,2024-01-06,455755,DLR-0008,"Driver brought truck in, harsh 3-4 shift but all others are smooth. Worse when hot outside.",Replaced TCM-3200. Pressure Transducer output drifting under temperature. Line pressure reading 40 PSI high at operating temp. External gauge confirms actual pressure is correct. Transducer element failing.
WC-2024-00159,PSN-TCM3200-00597,TCM-3200,2023-11-12,225781,DLR-0007,"Driver brought truck in, transmission feels confused, shifts too early then too late. Driver wants a different truck.",TCM-3200 swap. Main PCB diagnosed as root cause of intermittent shift faults. Power supply section of the board shows thermal discoloration. Board is failing under heat soak conditions. Firmware version current.
WC-2024-00355,PSN-ACM2800-01573,ACM-2800,2025-07-09,565522,DLR-0016,"Second time this month. takes 10 minutes to build air, used to take 3. First noticed it yesterday.",Replaced ACM-2800. Piston and Cylinder Kit is root cause. Piston wrist pin shows wear allowing piston rock. Cylinder bore tapered 0.003 inches. Governor and Unloader Valve functioning normally.
WC-2024-00437,PSN-EXM4100-02018,EXM-4100,2024-12-19,561397,DLR-0022,"Driver refused load, says something smells hot under the hood after a long run. Worse when hot outside.",Replaced exhaust manifold assembly. Heat Shield material delaminating. Insulation layer gone in two spots. Wiring loom directly above shows melted outer jacket. Heat Shield failure is root cause of thermal damage.
WC-2024-00155,PSN-TCM3200-01480,TCM-3200,2023-09-27,257982,DLR-0010,"Fleet manager called, driver says corrosion on trans plug, shifting issues in wet weather. Been like this for about a week.","Replaced TCM-3200. Connector Housing seal failed allowing moisture intrusion. Found green corrosion on pins 4, 7, and 12. Water caused intermittent connection. Module internals showed no water damage. Connector failed."
WC-2024-00102,PSN-TC5000-04681,TC-5000,2024-05-10,346579,DLR-0002,"Brought in on tow, turbo sounds like it's coming apart. Happened on I-90 westbound.",TC-5000 assembly replaced. Turbine Wheel failure - blade liberation event. One blade missing entirely. Scoring on housing bore. Oil Feed Line intact. Compressor side undamaged. FOD from turbine side only.
WC-2024-00006,PSN-TC5000-00692,TC-5000,2025-06-09,508171,DLR-0001,"New driver on this truck reports turbo seems sluggish, takes forever to build boost. Been like this for about a week.",Turbo assembly replaced. VGT Actuator intermittent - works sometimes and sticks other times. Carbon deposit on vane ring pivot points traced back to actuator not cycling properly. Compressor side clean.
WC-2024-00289,PSN-ACM2800-00248,ACM-2800,2025-04-23,84347,DLR-0015,Driver reports air tanks take forever to build up pressure. Getting worse every day.,ACM-2800 swap. Piston and Cylinder Kit failure confirmed with leak-down test. 60 percent leakage past rings at TDC. Normal is under 15 percent. Cylinder has vertical scoring. Compressor head gasket still sealing.
WC-2024-00206,PSN-TCM3200-03051,TCM-3200,2024-09-12,249519,DLR-0016,"Came in for PM, driver mentioned limp mode on cold mornings, clears after 20 minutes. Can't keep running like this.",Replaced TCM-3200. Main PCB fault causing erratic pressure commands. Extended operation burned out the Pressure Transducer from constant overcurrent sensing requests. Main PCB failure is primary.
WC-2024-00027,PSN-TC5000-04331,TC-5000,2024-04-05,105300,DLR-0006,"Driver refused load, says can't maintain speed on hills, turbo feels dead. Happened twice today.","Full turbo replacement. VGT Actuator response time exceeding 2 seconds, should be under 200ms. Slow response causing boost control issues. Cleaned and tested - still slow. Bearing Housing oil supply adequate."
WC-2024-00431,PSN-EXM4100-03959,EXM-4100,2024-08-20,196237,DLR-0017,"New driver on this truck reports manifold rattling, one stud broke off. Happened on I-90 westbound.",EXM-4100 replaced. Two Mounting Stud Kit studs stretched beyond spec. One stud broken flush with block. Manifold was loose causing exhaust leak. Stud failure from thermal cycling.
WC-2024-00438,PSN-EXM4100-02068,EXM-4100,2025-08-15,114270,DLR-0003,"Called from truck stop, ticking on cold start that goes away when warm. First noticed it yesterday.",Replaced EXM-4100. Gasket Set failure at cylinder 3 port. Visible blow-by pattern on gasket surface. Manifold face checked flat. Stud torques were in spec. Gasket material failed.
WC-2024-00397,PSN-EXM4100-03855,EXM-4100,2024-08-21,308714,DLR-0001,Hissing from the turbo connection on the manifold. Third driver to complain about this unit.,Replaced EXM-4100. Expansion Joint bellows cracked circumferentially. Exhaust leak at turbo interface. Joint lost flexibility from age and thermal cycles. No other manifold damage.
WC-2024-00277,PSN-ACM2800-02322,ACM-2800,2024-05-24,156977,DLR-0018,"Fleet manager called, driver says air pressure won't hold, compressor cycling nonstop. Only happens when loaded.",Replaced air compressor. Piston and Cylinder Kit bore wear causing blow-by. Air output measured at 40 percent of rated CFM. Oil passing rings into air system. Kit is worn out.
WC-2024-00076,PSN-TC5000-03513,TC-5000,2023-11-03,565740,DLR-0021,"Engine feels choked, no turbo response when I floor it. Getting worse every day.","Replaced turbo assembly. VGT Actuator failed causing erratic boost. Prolonged operation in this condition caused excessive heat cycling on the Heat Shield which is now warped and cracking. VGT Actuator is root cause, Heat Shield is collateral damage."
WC-2024-00489,PSN-SGB6500-04021,SGB-6500,2024-02-27,410467,DLR-0015,Driver says since last service takes a lot more effort to turn the wheel lately. Need this truck back ASAP.,"Replaced SGB-6500. Housing Casting has internal porosity causing pressure loss. Power steering effort increased. External housing shows weeping at casting seam. Cannot repair, replacement required."
WC-2024-00183,PSN-TCM3200-02946,TCM-3200,2024-10-17,67702,DLR-0007,"Fleet down, random gear hunting on the highway, cruise control on. Happened twice today.",Replaced TCM-3200. Main PCB driver circuit for shift solenoids failing intermittently. Module commands gear change but signal never reaches solenoid. Internal board trace issue. Solenoid Pack tested independently and works fine.
WC-2024-00330,PSN-ACM2800-00670,ACM-2800,2024-05-06,515392,DLR-0002,"Fleet down, air pressure won't hold, compressor cycling nonstop",Replaced ACM-2800 Air Compressor Assembly. Piston and Cylinder Kit worn beyond service limits. Cylinder bore out of round by 0.004 inches. Piston ring end gap excessive at 0.035 inches vs 0.015 max. Compressor cannot maintain adequate volume output.
WC-2024-00243,PSN-TCM3200-01808,TCM-3200,2025-04-21,425824,DLR-0015,"Fleet down, trans module throwing connector fault codes after rain. Getting worse every day.","Replaced TCM-3200. Connector Housing seal failed allowing moisture intrusion. Found green corrosion on pins 4, 7, and 12. Water caused intermittent connection. Module internals showed no water damage. Connector failed."
WC-2024-00086,PSN-TC5000-04076,TC-5000,2025-04-30,402698,DLR-0016,"Wiring near turbo melted, electrical issues started. Been like this for about a week.","Replaced TC-5000 due to heat damage. Heat Shield cracked and separated allowing exhaust temps to damage adjacent wiring and the VGT Actuator connector. Heat Shield is primary failure, VGT connector melted as secondary damage."
WC-2024-00259,PSN-TCM3200-04843,TCM-3200,2025-09-15,290143,DLR-0009,"Came in for PM, driver mentioned corrosion on trans plug, shifting issues in wet weather. Only happens when loaded.","Replaced TCM-3200. Connector Housing seal failed allowing moisture intrusion. Found green corrosion on pins 4, 7, and 12. Water caused intermittent connection. Module internals showed no water damage. Connector failed."
